gen evals time best_fitness
0 100 163 0.0
1 200 215 0.0
2 300 220 0.0
3 400 225 0.0
4 500 228 0.0
5 600 232 0.0
6 700 236 0.0
7 800 239 0.0
8 900 242 0.0
9 1000 244 0.0
10 1100 246 0.0
11 1200 248 0.0
12 1300 251 0.0
13 1400 254 0.0
14 1500 256 0.0
15 1600 259 0.0
16 1700 262 0.0
17 1800 265 0.0
18 1900 268 0.0
19 2000 270 0.0
20 2100 272 0.0
21 2200 274 0.0
22 2300 275 0.0
23 2400 277 0.0
24 2500 279 0.0
25 2600 281 0.0
26 2700 283 0.0
27 2800 285 0.0
28 2900 286 0.0
29 3000 287 0.0
30 3100 289 0.0
31 3200 291 0.0
32 3300 292 0.0
33 3400 293 0.0
34 3500 294 0.0
35 3600 295 0.0
36 3700 296 0.0
37 3800 297 0.0
38 3900 299 0.0
39 4000 300 0.0
40 4100 302 0.0
41 4200 303 0.0
42 4300 304 0.0
43 4400 305 0.0
44 4500 306 0.0
45 4600 306 0.0
46 4700 307 0.0
47 4800 309 0.0
48 4900 311 0.0
49 5000 312 0.0
50 5100 314 0.0
51 5200 314 0.0
52 5300 315 0.0
53 5400 316 0.0
54 5500 318 0.0
55 5600 319 0.0
56 5700 321 0.0
57 5800 322 0.0
58 5900 323 0.0
59 6000 324 0.0
60 6100 325 0.0
61 6200 325 0.0
62 6300 326 0.0
63 6400 328 0.0
64 6500 329 0.0
65 6600 332 0.0
66 6700 333 0.0
67 6800 334 0.0
68 6900 334 0.0
69 7000 335 0.0
70 7100 336 0.0
71 7200 337 0.0
72 7300 338 0.0
73 7400 340 0.0
74 7500 341 0.0
75 7600 342 0.0
76 7700 343 0.0
77 7800 343 0.0
78 7900 344 0.0
79 8000 345 0.0
80 8100 347 0.0
81 8200 348 0.0
82 8300 350 0.0
83 8400 350 0.0
84 8500 352 0.0
85 8600 352 0.0
86 8700 353 0.0
87 8800 354 0.0
88 8900 354 0.0
89 9000 356 0.0
90 9100 357 0.0
91 9200 359 0.0
92 9300 360 0.0
93 9400 361 0.0
94 9500 361 0.0
95 9600 362 0.0
96 9700 363 0.0
97 9800 364 0.0
98 9900 365 0.0
99 10000 366 0.0
100 10100 367 0.0
101 10200 369 0.0
102 10300 370 0.0
103 10400 370 0.0
104 10500 371 0.0
105 10600 378 0.0
106 10700 379 0.0
107 10800 379 0.0
108 10900 383 0.0
109 11000 383 0.0
110 11100 384 0.0
111 11200 385 0.0
112 11300 387 0.0
113 11400 387 0.0
114 11500 390 0.0
115 11600 390 0.0
116 11700 391 0.0
117 11800 391 0.0
118 11900 392 0.0
119 12000 392 0.0
120 12100 393 0.0
121 12200 393 0.0
122 12300 394 0.0
123 12400 394 0.0
124 12500 396 0.0
125 12600 398 0.0
126 12700 399 0.0
127 12800 400 0.0
128 12900 400 0.0
129 13000 401 0.0
130 13100 401 0.0
131 13200 402 0.0
132 13300 402 0.0
133 13400 403 0.0
134 13500 403 0.0
135 13600 404 0.0
136 13700 404 0.0
137 13800 406 0.0
138 13900 406 0.0
139 14000 409 0.0
140 14100 409 0.0
141 14200 410 0.0
142 14300 410 0.0
143 14400 411 0.0
144 14500 411 0.0
145 14600 412 0.0
146 14700 412 0.0
147 14800 413 0.0
148 14900 413 0.0
149 15000 414 0.0
150 15100 414 0.0
151 15200 416 0.0
152 15300 417 0.0
153 15400 419 0.0
154 15500 419 0.0
155 15600 420 0.0
156 15700 420 0.0
157 15800 421 0.0
