gen evals time best_fitness
0 100 3 29.0
1 200 8 29.0
2 300 10 29.0
3 400 10 29.0
4 500 11 29.0
5 600 12 29.0
6 700 12 29.0
7 800 13 29.0
8 900 14 29.0
9 1000 15 29.0
10 1100 16 29.0
11 1200 17 29.0
12 1300 18 29.0
13 1400 19 29.0
14 1500 20 29.0
15 1600 20 29.0
16 1700 21 29.0
17 1800 22 29.0
18 1900 22 29.0
19 2000 23 29.0
20 2100 24 29.0
21 2200 25 29.0
22 2300 27 29.0
23 2400 27 29.0
24 2500 29 29.0
25 2600 30 29.0
26 2700 31 29.0
27 2800 31 29.0
28 2900 32 29.0
29 3000 33 29.0
30 3100 34 29.0
31 3200 35 29.0
32 3300 37 29.0
33 3400 37 29.0
34 3500 39 29.0
35 3600 40 29.0
36 3700 41 29.0
37 3800 42 29.0
38 3900 42 29.0
39 4000 43 29.0
40 4100 44 29.0
41 4200 45 29.0
42 4300 47 29.0
43 4400 47 29.0
44 4500 49 29.0
45 4600 50 29.0
46 4700 51 29.0
47 4800 52 29.0
48 4900 53 29.0
49 5000 54 29.0
50 5100 55 29.0
51 5200 57 29.0
52 5300 59 29.0
53 5400 60 29.0
54 5500 61 29.0
55 5600 62 29.0
56 5700 63 29.0
57 5800 63 29.0
58 5900 64 29.0
59 6000 66 29.0
60 6100 67 29.0
61 6200 69 29.0
62 6300 70 29.0
63 6400 71 29.0
64 6500 72 29.0
65 6600 73 29.0
66 6700 73 29.0
67 6800 74 29.0
68 6900 75 29.0
69 7000 76 29.0
70 7100 77 29.0
71 7200 79 29.0
72 7300 79 29.0
73 7400 80 29.0
74 7500 81 29.0
75 7600 81 29.0
76 7700 82 29.0
77 7800 83 29.0
78 7900 84 29.0
79 8000 84 29.0
80 8100 87 29.0
81 8200 87 29.0
82 8300 89 29.0
83 8400 90 29.0
84 8500 91 29.0
85 8600 91 29.0
86 8700 92 29.0
87 8800 93 29.0
88 8900 93 29.0
89 9000 94 29.0
90 9100 96 29.0
91 9200 97 29.0
92 9300 98 29.0
93 9400 99 29.0
94 9500 100 29.0
95 9600 101 29.0
96 9700 102 29.0
97 9800 103 29.0
98 9900 104 29.0
99 10000 104 29.0
100 10100 107 29.0
101 10200 108 29.0
102 10300 109 29.0
103 10400 110 29.0
104 10500 111 29.0
105 10600 112 29.0
106 10700 113 29.0
107 10800 113 29.0
108 10900 114 29.0
109 11000 116 29.0
110 11100 118 29.0
111 11200 119 29.0
112 11300 120 29.0
113 11400 123 29.0
114 11500 123 29.0
